GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Ant Example,thaliatix,DisplayOrder,72,0,2,0,18,0,4,0,3,0
JaCoCo Ant Example,thaliatix,Seat,51,0,2,0,20,0,12,0,11,0
JaCoCo Ant Example,thaliatix,SeatRequest,57,0,0,0,20,0,10,0,10,0
JaCoCo Ant Example,thaliatix,TicketManager,16,0,0,0,5,0,3,0,3,0
JaCoCo Ant Example,thaliatix,Ticket,156,0,0,0,39,0,20,0,20,0
JaCoCo Ant Example,thaliatix,REST_controller,1219,0,80,0,243,0,57,0,17,0
JaCoCo Ant Example,thaliatix,Show,126,0,4,0,28,0,16,0,14,0
JaCoCo Ant Example,thaliatix,SeatNull,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,thaliatix,Section,129,0,2,0,28,0,15,0,14,0
JaCoCo Ant Example,thaliatix,UniqueOIDGenerator,11,0,0,0,3,0,3,0,3,0
JaCoCo Ant Example,thaliatix,ShowManager,715,0,64,0,133,0,48,0,16,0
JaCoCo Ant Example,thaliatix,ReducedTicketInfo,21,0,0,0,8,0,4,0,4,0
JaCoCo Ant Example,thaliatix,SpecificShowDetail,48,0,2,0,11,0,4,0,3,0
JaCoCo Ant Example,thaliatix,Report,14,0,0,0,5,0,1,0,1,0
JaCoCo Ant Example,thaliatix,OrderManager,170,0,26,0,37,0,21,0,8,0
JaCoCo Ant Example,thaliatix,Order,179,0,8,0,42,0,25,0,21,0
JaCoCo Ant Example,thaliatix,PatronInfo,28,0,0,0,11,0,3,0,3,0
JaCoCo Ant Example,thaliatix,DonationManager,82,0,10,0,21,0,10,0,5,0
JaCoCo Ant Example,thaliatix,OrderReducedInfo,46,0,2,0,11,0,2,0,1,0
JaCoCo Ant Example,thaliatix,SeatingInfo,17,0,0,0,6,0,3,0,3,0
JaCoCo Ant Example,thaliatix,ShowSectionDetailedInfo,54,0,0,0,15,0,7,0,7,0
JaCoCo Ant Example,thaliatix,UnitTests,1043,0,48,0,205,0,53,0,29,0
JaCoCo Ant Example,thaliatix,Seating,155,0,12,0,35,0,18,0,12,0
JaCoCo Ant Example,thaliatix,Donation,111,0,0,0,29,0,15,0,15,0
JaCoCo Ant Example,thaliatix,SeatingManager,997,0,14,0,291,0,16,0,9,0
JaCoCo Ant Example,thaliatix,UniqueDIDGenerator,11,0,0,0,3,0,3,0,3,0
JaCoCo Ant Example,thaliatix,NullSection,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,thaliatix,NullSectionDetail,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,thaliatix,ShowInfo,46,0,0,0,7,0,2,0,2,0
JaCoCo Ant Example,thaliatix,NullShow,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,thaliatix,ShowDetail,13,0,0,0,4,0,1,0,1,0
JaCoCo Ant Example,thaliatix,SpecificShowDetailNull,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,thaliatix,OrderNull,5,0,0,0,2,0,2,0,2,0
JaCoCo Ant Example,thaliatix,SectionDetail,46,0,2,0,11,0,4,0,3,0
JaCoCo Ant Example,thaliatix,UniqueTIDGenerator,11,0,0,0,3,0,3,0,3,0
JaCoCo Ant Example,thaliatix,TestRunner,3,17,0,0,1,4,1,1,1,1
JaCoCo Ant Example,thaliatix,UniqueIdGenerator,11,0,0,0,3,0,3,0,3,0
JaCoCo Ant Example,thaliatix,SectionInfo,32,0,0,0,6,0,2,0,2,0
JaCoCo Ant Example,thaliatix,SeatingReducedInfo,16,0,0,0,5,0,1,0,1,0
